ID,Prix,Condition,RAM,Stockage,Marque,Couleur,Taille écran,Résolution,Date de publication
v1|356376878312|0,120.00,Occasion,6 Go,500 Go,MSI,Noir,"17,3""",1920 x 1080,2024-12-15T17:16:24.000Z
v1|226499619874|0,85.00,Occasion,8 Go,128 Go,Dell,Noir,"14,1""",1366 x 768,2024-12-16T15:55:02.000Z
v1|276770564272|0,165.00,Occasion,16 Go,16 Go,Dell,Marron,"14""",1920 x 1080,2024-12-07T10:22:59.000Z
v1|176698354034|0,145.00,Occasion,8 Go,256 Go,HP,,"14""",,2024-11-22T17:40:21.000Z
v1|387684699352|0,340.00,Ouvert (jamais utilisé),16 Mo,512 Go,HP,Gris,"17,3""",1920 x 1080,2024-12-02T17:56:30.000Z
v1|186844457918|0,149.99,Occasion,16 Go,16 Go,HP,,"14""",1920 x 1080,2024-12-15T19:52:51.000Z
v1|135443875352|0,900.00,Occasion,16 Go,512 Go,Samsung,Argenté,"13,3""",1920 x 1080,2024-12-15T14:19:33.000Z
v1|176700899121|0,135.00,Occasion,8 Go,256 Go,Lenovo,,"14""",,2024-11-24T10:59:45.000Z
v1|326364305292|0,199.00,Occasion,8 Go,256 Go,Dell,,"14""",,2024-12-07T11:29:19.000Z
v1|116407304434|0,380.00,Très bon état - Reconditionné,16 Go,512 Go,Lenovo,Gris,"13""",,2024-11-30T17:43:16.000Z
v1|395937180861|0,205.00,Occasion,8 Go,256 Go,Intel,Argenté,"14""",1920 x 1080,2024-11-25T11:00:31.000Z
v1|365249211566|0,318.34,Occasion,16 Go,512 Go,MSI,Noir,"15,6""",1920 x 1080,2024-11-24T15:28:27.000Z
v1|256753116180|0,125.00,Occasion,8 Go,256,Lenovo,,"15,6""",,2024-12-16T20:00:40.000Z
v1|296478972285|0,250.00,Occasion,8 Go,128 Go,Apple,Gris,"13,3""",2560 x 1600,2024-06-04T09:26:39.000Z
v1|176675489170|0,119.00,Occasion,4 Go,240 Go,ASUS,Blanc,"17,3""",,2024-11-11T10:12:07.000Z
v1|167141907414|0,289.00,Occasion,16 Go,16 Go,ASUS,,"14""",1920 x 1080,2024-12-01T12:56:25.000Z
v1|167177154601|0,250.00,Neuf,8 Go,0,ASUS,Noir,"12,1""",1366 x 768,2024-12-14T20:08:37.000Z
v1|387166489483|0,210.00,Occasion,12 Go,256 Go,Lenovo,Noir,"14""",,2024-07-05T07:00:00.000Z
v1|387730789272|0,59.99,Occasion,4 Go,1 To,Dell,,"15,6""",,2024-12-15T10:08:33.000Z
v1|356377211938|0,700.00,Neuf,16 Go,512 Go,ASUS,Bleu,"14""",,2024-12-15T20:00:30.000Z
v1|176732684712|0,155.00,Occasion,4 Go,256 Go,ASUS,,"15,6""",,2024-12-12T22:02:54.000Z
v1|176733435412|0,125.00,Occasion,4 Go,256 Go,Toshiba,,"15,6""",,2024-12-13T08:26:16.000Z
v1|176733447703|0,125.00,Occasion,4 Go,256 Go,Acer,,"15,6""",,2024-12-13T08:41:11.000Z
v1|176732691481|0,135.00,Occasion,4 Go,256 Go,Toshiba,,"15,6""",,2024-12-12T22:09:59.000Z
v1|276769939623|0,72.00,Occasion,8Go,1TB,Lenovo,,"15,6""",,2024-12-06T21:43:14.000Z
v1|326371971650|0,100.00,Occasion,512 MB,75Go,HP,,"15""",,2024-12-14T19:00:01.000Z
v1|186840637311|0,125.00,Occasion,4 Go,256 Go,HP,,"15,6""",,2024-12-13T08:51:21.000Z
v1|126785786202|0,70.58,Neuf,2 Go,16 Go,KLIPAD,Gris,"10,1""",1280 x 800,2024-11-19T16:48:06.000Z
v1|176722703748|0,125.00,Occasion,4 Go,128 Go,HP,,"12""",,2024-12-06T21:13:12.000Z
v1|276780481098|0,400.00,Occasion,512 Go,512 Go,ASUS,Noir,"14""",1920 x 1080,2024-12-15T19:00:47.000Z
v1|176710422749|0,125.00,Occasion,4 Go,256 Go,Packard Bell,,"14""",,2024-11-29T17:28:45.000Z
v1|176710422447|0,395.00,Occasion,8 Go,256 Go,Apple,,"14""",,2024-11-29T17:28:19.000Z
v1|176723461345|0,595.00,Occasion,16 Go,512 Go,HP,,"14""",,2024-12-07T08:14:39.000Z
v1|176741195535|0,199.00,Occasion,8 Go,128 Go,Apple,Argenté,"13""",2560 x 1600,2024-12-18T05:18:24.000Z
v1|296882818273|0,199.99,Occasion,16 Go,256Go SSD,Dell,Noir,"14""",1366 x 768,2024-12-15T18:05:18.000Z
v1|146272840012|0,133.00,Occasion,4 Go,500 Go,HP,Noir,"13,3""",,2024-12-16T14:21:48.000Z
v1|176738508655|0,175.00,Occasion,4 Go,256 Go,HP,,"17,3""",,2024-12-16T13:16:59.000Z
v1|167184608143|0,739.40,Occasion,16GB,1TB,MSI,Noir,"15.6""",(1920x1080),2024-12-17T13:32:27.000Z
v1|167152632747|0,189.99,Occasion,16 Go,256 Go,Lenovo,,"14""",,2024-12-05T13:11:34.000Z
v1|176734168086|0,145.00,Occasion,4 Go,256 Go,Samsung,,"17,3""",,2024-12-13T20:13:39.000Z
v1|395963568352|0,89.00,Occasion,4 Go,128 Go,Samsung,Noir,"17,3""",,2024-12-03T08:25:51.000Z
v1|275840308862|0,389.99,Occasion,32 Go,512 Go,Lenovo,Noir,"14""",,2023-05-07T18:55:18.000Z
v1|316044931910|0,197.63,Parfait état - Reconditionné,8 Go,256 Go,Dell,Noir,"14""",1920 x 1080,2024-12-12T09:44:45.000Z
v1|316043079926|0,450.00,Occasion,8 Go,8 Go,ASUS,noire,"17,3""",1600 x 900,2024-12-11T14:56:09.000Z
v1|176738100797|0,149.00,Occasion,8 Go,1 To,Acer,Noir,"17,3""",1600 x 900,2024-12-16T06:28:44.000Z
v1|316054634066|0,450.00,Occasion,16 Go,1 To,Apple,,"13""",,2024-12-16T12:56:25.000Z
v1|126828727112|0,290.00,Occasion,16 Go,512 Go,Dell,Gris,"13,3""",1920 x 1080,2024-12-13T10:25:56.000Z
v1|156585416885|0,105.00,Occasion,8 Go,512 Go,HP,Argenté,"14""",,2024-12-16T09:22:19.000Z
v1|176701080885|0,145.00,Occasion,8 Go,256 Go,Lenovo,,"14""",,2024-11-24T13:14:45.000Z
v1|316037872842|0,289.00,Occasion,256 Go,256 Go,Lenovo,Noir,"15""",,2024-12-09T13:57:48.000Z
v1|395427398249|0,329.00,Occasion,16 Go,500 Go,Lenovo,Noir,"15,6""",1920 x 1080,2024-05-25T10:56:07.000Z
v1|335732362433|0,89.00,Occasion,8 Go,1 To,HP,Noir,"15,6""",,2024-12-16T13:38:21.000Z
v1|387626000525|0,59.99,Occasion,8 Go,500 Go,Samsung,,"15,6""",,2024-11-18T07:30:44.000Z
v1|386771531014|0,199.00,Occasion,256 Go,256 Go,Panasonic,,"7""",,2024-02-13T11:56:15.000Z
v1|316054303212|0,170.00,Occasion,3 Go,4 Go,HP,,"15,6""",,2024-12-16T09:42:51.000Z
v1|286220570364|0,209.90,Occasion,8 Go,256 Go,Lenovo,Noir,"14""",2560 x 1440,2024-12-18T07:03:02.000Z
v1|276782489172|0,89.00,Occasion,8Go,750 Go,Toshiba,Noir,"15,6""",,2024-12-17T13:54:54.000Z
v1|365288713420|0,149.99,Occasion,8 Go,256 Go,Dell,Noir,"14""",,2024-12-15T16:38:50.000Z
v1|305979192214|0,400.00,Neuf,512 Go,512 Go,celeron,Violet,"16,1""",,2024-12-16T23:20:04.000Z
v1|186690219384|0,450.00,Occasion,8 Go,512 Go,ASUS,Noir,"15,6""",1920 x 1080,2024-09-17T15:20:33.000Z
v1|186745547730|0,270.00,Occasion,8 Go,256 Go,Dell,Noir,"15,6""",1920 x 1080,2024-10-24T13:32:36.000Z
v1|316037886563|0,70.00,Occasion,4 Go,120 Go,Toshiba,Gris,"15,6""",,2024-12-09T14:06:34.000Z
v1|365286946165|0,95.00,Occasion,8 Go,500 Go,HP,Gris,"15,6""",,2024-12-14T11:55:27.000Z
v1|176732198029|0,1600.00,Ouvert (jamais utilisé),32 Go,1 To,Dell,Argenté,"17""",1920 x 1080,2024-12-12T14:03:47.000Z
v1|365285359573|0,199.99,Occasion,8 Go,256 Go,ASUS,Royal Blue,"13,3""",1920 x 1080,2024-12-13T14:06:59.000Z
v1|356235586317|0,190.00,Occasion,16 Go,250 Go,Dell,,"12""",1920 x 1080,2024-11-07T18:12:46.000Z
v1|176732688253|0,175.00,Occasion,4 Go,256 Go,Acer,,"14""",,2024-12-12T22:07:41.000Z
v1|176733483046|0,145.00,Occasion,4 Go,256 Go,Sony,,"17,3""",,2024-12-13T09:06:07.000Z
v1|116413532235|0,149.00,État correct - Reconditionné,8 Go,256 Go,Lenovo,Noir,"12""",,2024-12-07T09:05:54.000Z
v1|315727979749|0,1590.00,Ouvert (jamais utilisé),16 Go,512 Go,ASUS,Gris,"14""",3k,2024-09-05T07:49:52.000Z
v1|326373669217|0,680.00,Occasion,8 Go,512 Go,Apple,,"13""",,2024-12-16T13:47:11.000Z
v1|387728852004|0,230.00,Occasion,8 Go,256 Go,Lenovo,,"12,5""",1920 x 1080,2024-12-14T17:42:30.000Z
v1|176732693872|0,155.00,Occasion,4 Go,256 Go,HP,,"15,6""",,2024-12-12T22:12:11.000Z
v1|356335881694|0,189.00,Très bon état - Reconditionné,8 Go,256 Go,Lenovo,Noir,"13,3""",,2024-12-03T09:24:58.000Z
v1|146267848606|0,750.00,Occasion,32 Go,1 To,Dell,,"13""",,2024-12-14T12:01:33.000Z
v1|356365144398|0,220.00,Occasion,16 Go,512 Go,HP,Gris,"14""",1920 x 1080,2024-12-11T15:21:05.000Z
v1|286206170719|0,229.90,Occasion,8 Go,256 Go,Dell,Gris,"15,6""",,2024-12-09T06:55:57.000Z
v1|375808953266|0,590.00,Occasion,16 Go,256 Go,Microsoft,Argenté,"13,5""",,2024-11-22T09:30:11.000Z
v1|296880948762|0,130.00,Occasion,8 Go,480 Go,Acer,Noir,"15,6""",1366 x 768,2024-12-14T17:44:02.000Z
v1|176689070184|0,125.00,Occasion,4 Go,32 Go,HP,,"15,6""",,2024-11-17T22:15:02.000Z
v1|315990000601|0,350.00,Occasion,32 Go,500 Go,Dell,,"14""",,2024-11-23T14:36:35.000Z
v1|126801894436|0,150.00,Occasion,4 Go,512 Go,Acer,Noir,"16""",1366 x 768,2024-11-29T01:41:02.000Z
v1|176668433089|0,1120.00,Occasion,16 Go,512 Go,Apple,Gris,"14""",,2024-11-07T12:16:52.000Z
v1|405420683023|0,160.78,Occasion,8 Go,256 Go,Lenovo,Noir,"12,5""",1366 x 768,2024-12-14T17:57:00.000Z
v1|176700742931|0,155.00,Occasion,4 Go,256 Go,Toshiba,,"17,3""",,2024-11-24T08:57:12.000Z
v1|176701813918|0,595.00,Occasion,16 Go,512 Go,HP,,"14""",,2024-11-24T22:11:44.000Z
v1|276782484267|0,101.00,Occasion,8 Go,500 Go,Lenovo,,"14""",,2024-12-17T13:46:33.000Z
v1|387485442493|0,160.00,Occasion,8 Go,128 Go,Apple,Argenté,"13""",1440 x 900,2024-10-14T20:30:19.000Z
v1|395966261014|0,433.13,Occasion,8 Go,128 Go,GPD,Silver,7 in,,2024-12-04T06:22:15.000Z
v1|176732683703|0,395.00,Occasion,16 Go,500 Go,HP,,"17,3""",,2024-12-12T22:01:41.000Z
v1|176722438353|0,295.00,Occasion,16 Go,512 Go,Huawei,,"16""",,2024-12-06T16:53:17.000Z
v1|226437631840|0,335.00,Occasion,20 Go,500 Go,Dell,Noir,"15,6""",1920 x 1080,2024-11-07T16:29:55.000Z
v1|186792204272|0,420.00,Ouvert (jamais utilisé),16 Go,512 Go,Lenovo,Gris,"15,6""",1920 x 1080,2024-11-18T23:40:39.000Z
v1|266999386941|0,300.00,Occasion,16 Go,256 Go,HP,,"14""",,2024-09-21T17:51:42.000Z
v1|116419039017|0,225.00,Occasion,12 Go,1 To,HP,Gris,"17""",1600 x 900,2024-12-13T10:33:10.000Z
v1|276757263022|0,57.00,Occasion,6 Go,500 Go,HP,Noir,"15,6""",1366 x 768,2024-11-29T13:14:30.000Z
v1|276780209617|0,99.00,Occasion,6 Go,1TB,Apple,Argenté,"13""",,2024-12-15T13:52:31.000Z
v1|375863932749|0,520.00,Occasion,256 Go,256 Go,Apple,Argenté,"15,4""",,2024-12-13T12:57:35.000Z
v1|356359950100|0,235.00,Occasion,16 Go,500 Go,HP,Gris,"14""",1920 * 1080,2024-12-10T07:50:07.000Z
v1|186823838781|0,100.00,Occasion,8 Go,8 Go,Acer,Noir,"14""",1920 x 1080,2024-12-03T14:47:02.000Z
v1|335732967317|0,82.00,Occasion,6 Go,500 Go,HP,Marron,"15,6""",1366x768,2024-12-16T22:54:29.000Z
v1|405342701625|0,72.53,Occasion,4 Go,320 Go,Acer,Noir,"17,3""",,2024-11-10T19:12:14.000Z
v1|126775700704|0,230.00,Occasion,16 Go,256 Go,HP,Argenté,"13,3""",1920 x 1080,2024-11-13T15:08:05.000Z
v1|335670272737|0,345.00,Occasion,16 Go,512 Go,Apple,Gris entracite,"15,4",2880 x 1800,2024-11-12T10:11:16.000Z
v1|176700827803|0,125.00,Occasion,4 Go,256 Go,Toshiba,,"15,6""",,2024-11-24T10:15:19.000Z
v1|156572173746|0,77.00,Occasion,8 Go,500 Go,Lenovo,,"15,6""",,2024-12-09T19:15:48.000Z
v1|395975490948|0,400.00,Occasion,8 Go,256 Go,Apple,Doré,"13""",2560 x 1600,2024-12-06T21:28:04.000Z
v1|267092393138|0,47.91,Ouvert (jamais utilisé),2 Go,16 Go,KLIPAD,Gris,"10,1""",1280 x 800,2024-12-09T11:25:13.000Z
v1|167177044347|0,600.00,Occasion,16 Go,100 Go,Acer,Noir,"17,3""",1920 x 1080,2024-12-14T19:01:14.000Z
v1|396001362640|0,900.00,Occasion,16 Go,512 Go,ASUS,Noir,"17,3""",1920 x 1080,2024-12-12T15:30:33.000Z
v1|196738091165|0,90.00,Occasion,8 Go,500 Go,ASUS,Noir,"15,6""",1366 x 768,2024-10-21T09:49:30.000Z
v1|186824838817|0,124.90,Très bon état - Reconditionné,8 Go,256 Go,ASUS,Blanc,"15,6""",,2024-12-04T05:51:48.000Z
v1|126829215545|0,599.00,Occasion,8 Go,256 Go,Apple,Doré,"13,3""",2560 x 1600,2024-12-13T13:39:27.000Z
v1|176723513159|0,135.00,Occasion,8 Go,256 Go,HP,,"15,6""",,2024-12-07T09:01:57.000Z
v1|395961012072|0,250.00,Occasion,16 Go,1 To,HP,Noir,ecran de 24 pouces possible,1920 x 1080,2024-12-02T11:14:34.000Z
v1|145790928646|0,900.00,Occasion,8 Go,256 Go,Apple,Argenté,"13,6""",2560 x 1664,2024-05-22T16:25:29.000Z
v1|355882036974|0,720.00,Occasion,16 Go,1 To,ASUS,Noir,"14""",1920 x 1080,2024-07-19T04:01:11.000Z
v1|185523397541|0,99.00,Occasion,sans ram,sans ssd,Dell,Noir,"14""",1920 x 1080,2022-08-03T13:29:48.000Z
v1|176703585037|0,175.00,Occasion,4 Go,256 Go,ASUS,,"17,3""",,2024-11-25T22:33:09.000Z
v1|266970523536|0,40.00,Occasion,1 Go,120 Go,Dell,,"15,6""",,2024-08-29T10:48:14.000Z
v1|396004739701|0,550.00,Occasion,16 Go,1 To,Lenovo,Noir,"15,6""",,2024-12-13T09:35:43.000Z
v1|405419243851|0,55.00,Occasion,4 Go,250 Go,Dell,,"13,3""",1366 x 768,2024-12-13T23:08:40.000Z
v1|116392516015|0,160.00,Occasion,4 Go,256 Go,Dell,Gris,"13,3""",1920 x 1080,2024-11-15T06:45:35.000Z
v1|205033065919|0,750.00,Neuf,512 Go,512 Go,Acer,Noir,"15,6""",,2024-10-08T20:27:52.000Z
v1|405340086755|0,40.00,Occasion,4 Go,120 Go,Acer,Violet,"15,6""",1366 x 768,2024-11-09T16:49:17.000Z
v1|116407085797|0,279.00,Occasion,16 Go,256 Go,Dell,,"13""",1920 x 1080,2024-11-30T11:51:10.000Z
v1|176576173873|0,395.00,Occasion,8 Go,512 Go,ASUS,,"15,6""",,2024-09-14T14:38:29.000Z
v1|405377369689|0,150.00,Occasion,3 Gb DDR2,250 Go,Acer,Noir,"16""",1366 x 768,2024-11-24T18:39:34.000Z
v1|365285586839|0,189.99,Occasion,8 Go,256 Go,Lenovo,Noir,"13,3""",1920 x 1080,2024-12-13T17:11:54.000Z
v1|167053812685|0,300.00,Occasion,16 Go,1 To,ASUS,Multicouleur,"15,6""",1920 x 1080,2024-10-30T00:35:17.000Z
v1|176689104164|0,495.00,Occasion,32 Go,256 Go,Lenovo,,"15,6""",,2024-11-17T22:43:43.000Z
v1|375864158077|0,400.00,Occasion,16 Go,1 To,MSI,Gris,"15,6""",1920 x 1080,2024-12-13T16:01:34.000Z
v1|126790348504|0,90.00,Occasion,8 Go,512 Go,HP,,"13""",,2024-11-22T10:41:37.000Z
v1|356359937928|0,185.00,Occasion,16 Go,500 Go,HP,Gris,"14""",1366 x 768,2024-12-10T07:45:29.000Z
v1|276763830177|0,620.00,Occasion,16 Go,512 Go,ASUS,,"17,3""",,2024-12-02T14:50:27.000Z
v1|226414174358|0,219.95,Occasion,32 MB,10 Go,Apple,Bleu,13.5 × 11.6 × 1.8 pouces,,2024-10-23T14:32:45.000Z
v1|196870562703|0,219.00,État correct - Reconditionné,16Go,256Go SSD,Dell,Noir,"14""",1366 x 768,2024-12-03T19:00:33.000Z
v1|186805442681|0,109.90,État correct - Reconditionné,8 Go,256 Go,HP,Noir,"15,6""",,2024-11-24T17:17:24.000Z
v1|296824872457|0,110.00,Occasion,4 Go,32 Go,Lenovo,Bleu,"11,6""",1366 x 768,2024-11-18T17:34:09.000Z
v1|176689013712|0,295.00,Occasion,8 Go,256 Go,Dell,,"15,6""",,2024-11-17T21:38:39.000Z
v1|185744264478|0,75.00,Occasion,4 Go,00,Lenovo,Noir,NN,3840 x 2400,2023-01-19T20:07:26.000Z
v1|167163168129|0,69.00,Occasion,8 Go,500 Go,Lenovo,,"15,6""",,2024-12-09T14:35:52.000Z
v1|116410522757|0,399.00,Occasion,8 Go,256 Go,Apple,Doré,"12""",,2024-12-04T06:46:51.000Z
v1|256599005989|0,299.00,Occasion,8 Go,250 Go,Panasonic,,"14,1""",1366 x 768,2024-08-10T13:36:44.000Z
v1|186841974773|0,95.00,Occasion,4 Go,1 To,ASUS,,"15,6""",,2024-12-14T06:47:49.000Z
v1|256749819461|0,350.00,Occasion,8 Go,512 Go,Apple,Gris,"12""",,2024-12-13T23:10:06.000Z
v1|296883026685|0,450.00,Occasion,16 Go,500 Go,Apple,,"17""",,2024-12-15T19:40:41.000Z
v1|176701696337|0,145.00,Occasion,8 Go,256 Go,Fujitsu,,"15,6""",,2024-11-24T20:31:04.000Z
v1|196885994848|0,150.00,Occasion,8 Go,256 Go,Dell,Gris,"14""",1920 x 1080,2024-12-10T07:38:03.000Z
